noise,CEO,MGR,CMGR,SNRMGR,TSC,CONS,SNRTSC,SNRCONS,salary,tenure
13000.0,0,0,0,0,0,0,1,0,4130.0,19.046575342465754
17000.0,0,0,0,0,0,1,0,0,4660.0,26.898630136986302
12000.0,0,0,0,0,0,0,0,1,6000.0,20.852054794520548
12000.0,0,0,0,0,1,0,0,0,4130.0,30.008219178082193
14000.0,0,0,0,0,0,0,1,0,5460.0,32.391780821917806
12000.0,0,0,0,0,0,1,0,0,5200.0,27.98904109589041
11000.0,0,0,0,0,0,1,0,0,4800.0,32.46027397260274
14000.0,0,0,0,0,0,1,0,0,3460.0,24.186301369863013
14000.0,0,0,0,0,0,1,0,0,5060.0,26.016438356164382
10000.0,0,0,0,0,0,1,0,0,5460.0,24.175342465753424
13000.0,0,0,0,0,0,1,0,0,4660.0,6.536986301369863
12000.0,0,0,0,0,0,0,1,0,4800.0,8.717808219178082
15000.0,0,0,0,0,0,1,0,0,4930.0,16.0
13000.0,0,0,0,0,0,1,0,0,4800.0,5.742465753424658
10000.0,0,1,0,0,0,0,0,0,7460.0,25.465753424657535
11000.0,0,0,0,0,1,0,0,0,4130.0,6.35068493150685
12000.0,0,0,0,0,0,0,0,1,6260.0,32.07397260273972
17000.0,0,0,0,0,0,1,0,0,4260.0,26.372602739726027
13000.0,0,0,0,0,1,0,0,0,5200.0,24.4027397260274
14000.0,0,0,0,0,0,1,0,0,5600.0,5.123287671232877
14000.0,0,0,0,0,0,0,0,1,5460.0,8.273972602739725
14000.0,0,0,0,0,1,0,0,0,2800.0,11.753424657534246
15000.0,0,0,0,0,0,0,0,1,5460.0,25.194520547945206
11000.0,0,0,0,0,0,0,1,0,4530.0,17.410958904109588
14000.0,0,0,0,0,1,0,0,0,3460.0,5.567123287671233
15000.0,0,0,0,0,1,0,0,0,4660.0,8.241095890410959
11000.0,0,0,0,0,0,1,0,0,4800.0,5.115068493150685
13000.0,0,0,0,0,0,0,0,1,5730.0,6.66027397260274
12000.0,0,0,0,0,0,0,1,0,3460.0,21.86027397260274
11000.0,0,0,0,0,0,0,1,0,4130.0,12.884931506849314
17000.0,0,0,0,0,0,0,0,1,7060.0,22.164383561643834
14000.0,0,0,0,0,0,0,0,1,7200.0,7.219178082191781
12000.0,0,0,0,0,0,0,1,0,5460.0,19.704109589041096
13000.0,0,0,0,0,0,0,0,1,6800.0,32.74520547945205
15000.0,0,0,0,0,1,0,0,0,5060.0,31.21095890410959
12000.0,0,1,0,0,0,0,0,0,7460.0,23.02191780821918
11000.0,0,0,0,0,0,0,0,1,4800.0,15.468493150684932
17000.0,0,0,0,0,0,0,1,0,4400.0,25.756164383561643
12000.0,0,0,0,0,0,1,0,0,5330.0,25.767123287671232
15000.0,0,0,0,0,1,0,0,0,3600.0,23.76164383561644
13000.0,0,0,0,0,0,0,0,1,5200.0,10.126027397260273
12000.0,0,0,0,0,1,0,0,0,2660.0,30.764383561643836
